CATEGORY_ID,CATEGORY,CATEGORY_DESC
1,1,Film & Animation
2,2,Autos & Vehicles
3,10,Music
4,15, Pets & Animals
5,17,Sports
6,18,Short Movies
7,19,Travel & Events
8,20,Gaming
9,21,Videoblogging
10,22,People & Blogs
11,23,Comedy
12,24,Entertainment
13,25,News & Politics
14,26,Howto & Style
15,27,Education
16,28,Science & Technology
17,29,Nonprofits & Activism
18,30,Movies
19,31,Anime/Animation
20,32,Action/Adventure
21,33,Classics
22,34,Comedy
23,35,Documentary
24,36,Drama
25,37,Family
26,38,Foreign
27,39,Horror
28,40,Sci-Fi/Fantasy
29,41,Thriller
30,42,Shorts
31,43,Shows
32,44,Trailers
